phase=load cutoff=22
phase=affine equalities=408 inequalities=1160 variables=239
phase=normalize rank=139 dimension=100 reduced_inequalities=378
phase=cdd iteration=0 working=102 solver=DUAL_SIMPLEX
phase=replay iteration=0 violated=46 solve_seconds=8.291757
phase=cdd iteration=1 working=112 solver=DUAL_SIMPLEX
phase=replay iteration=1 violated=86 solve_seconds=8.680478
phase=cdd iteration=2 working=122 solver=DUAL_SIMPLEX
phase=replay iteration=2 violated=16 solve_seconds=10.364153
phase=cdd iteration=3 working=132 solver=DUAL_SIMPLEX
phase=replay iteration=3 violated=8 solve_seconds=20.489398
phase=cdd iteration=4 working=140 solver=DUAL_SIMPLEX
phase=replay iteration=4 violated=12 solve_seconds=29.250673
phase=cdd iteration=5 working=150 solver=DUAL_SIMPLEX
phase=replay iteration=5 violated=5 solve_seconds=43.804960
phase=cdd iteration=6 working=155 solver=DUAL_SIMPLEX
phase=replay iteration=6 violated=1 solve_seconds=55.955976
phase=cdd iteration=7 working=156 solver=DUAL_SIMPLEX
phase=replay iteration=7 violated=0 solve_seconds=59.963629
